ANIO|AVALOR|ALCALDIA|VALOR|ADD
2026|A060123|06|4264.26|A
2026|A060133|06|4172.99|A
2026|A060143|06|5024.76|A
2026|A060155|06|10731.82|A
2026|A060164|06|4781.70|A
2026|A060175|06|8676.18|A
2026|A060185|06|5543.72|A
2026|A060194|06|6518.08|A
2026|A060204|06|4407.28|A
2026|A060214|06|5519.30|A
2026|A060223|06|6366.99|A
2026|A060235|06|6955.67|A
2026|A060247|06|8434.31|A
2026|A060255|06|6809.85|A
2026|A060266|06|8579.17|A
2026|A060277|06|9167.38|A
2026|A060287|06|13505.65|A
2026|A060298|06|4997.83|A
2026|A060304|06|4852.51|A
2026|A070011|07|1797.32|A
2026|A070024|07|3698.97|A
2026|A070032|07|3037.63|A
2026|A070042|07|2257.85|A
2026|A070052|07|2675.91|A
2026|A070063|07|2481.77|A
2026|A070077|07|2160.51|A
2026|A070082|07|4534.54|A
2026|A070091|07|901.39|A
2026|A070101|07|635.39|A
2026|A070112|07|2496.86|A
2026|A070122|07|2565.31|A
2026|A070131|07|919.73|A
2026|A070142|07|2796.85|A
2026|A070151|07|1051.15|A
2026|A070168|07|3270.37|A
2026|A070171|07|698.19|A
2026|A070182|07|2743.06|A
2026|A070198|07|2809.10|A
2026|A070203|07|2604.02|A
2026|A070212|07|2440.04|A
2026|A070221|07|1182.55|A
2026|A070231|07|1175.22|A
2026|A070241|07|1288.84|A
2026|A070257|07|3456.10|A
2026|A070262|07|2556.94|A
2026|A070271|07|1304.60|A
2026|A070281|07|1212.02|A
2026|A070291|07|1234.67|A
2026|A070301|07|733.74|A
2026|A070311|07|795.59|A
2026|A070322|07|2821.30|A
2026|A070332|07|3168.57|A
2026|A070342|07|2179.72|A
2026|A070352|07|2070.98|A
2026|A070364|07|3370.26|A
2026|A070372|07|2497.78|A
2026|A070382|07|2005.24|A
2026|A070394|07|3929.69|A
2026|A070402|07|2398.78|A
2026|A070413|07|3255.67|A
2026|A070422|07|2008.80|A
2026|A070431|07|2486.59|A
2026|A070442|07|3927.16|A
2026|A070451|07|1529.01|A
2026|A070462|07|1635.88|A
2026|A070473|07|3441.16|A
2026|A070482|07|3821.75|A
2026|A070493|07|3084.49|A
2026|A070502|07|3402.39|A
2026|A070517|07|3222.42|A
2026|A070524|07|4585.25|A
2026|A070531|07|1105.62|A
2026|A070542|07|1680.48|A
2026|A070558|07|5277.55|A
2026|A070562|07|2402.40|A
2026|A070577|07|4156.08|A
2026|A070583|07|3873.63|A
2026|A070593|07|2921.18|A
2026|A070603|07|2829.56|A
2026|A070614|07|3429.51|A
2026|A070622|07|2480.17|A
2026|A070633|07|3352.74|A
2026|A070642|07|3232.90|A
2026|A070652|07|2534.56|A
2026|A070662|07|2726.71|A
2026|A070671|07|1139.02|A
2026|A070682|07|2586.34|A
2026|A070692|07|2198.47|A
2026|A070701|07|842.65|A
2026|A070715|07|5549.60|A
2026|A070723|07|3321.70|A
2026|A070732|07|3254.06|A
2026|A070741|07|1491.87|A
2026|A070751|07|2148.40|A
2026|A070767|07|5384.44|A
2026|A070772|07|3000.21|A
2026|A070789|07|960.33|A
2026|A070793|07|4770.46|A
2026|A070803|07|2875.05|A
2026|A070812|07|59.14|A
2026|A070829|07|71.00|A
2026|A080013|08|3465.97|A
2026|A080023|08|2947.02|A
2026|A080032|08|2763.17|A
2026|A080042|08|2927.75|A
2026|A080053|08|2488.70|A
2026|A080062|08|3569.01|A
2026|A080077|08|2944.08|A
2026|A080083|08|2506.39|A
2026|A080092|08|2173.70|A
2026|A080102|08|2964.59|A
2026|A080118|08|3780.25|A
2026|A080122|08|3151.79|A
2026|A080138|08|2626.74|A
2026|A080142|08|2453.28|A
2026|A080152|08|2425.48|A
2026|A080164|08|3716.21|A
2026|A080172|08|2968.89|A
2026|A080184|08|3386.12|A
2026|A080193|08|2769.70|A
2026|A080203|08|3193.32|A
2026|A080213|08|3309.81|A
2026|A080224|08|3558.04|A
2026|A080232|08|2293.32|A
